## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.brand,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
MEOTWICLS,Classic leather Gloves,gloves,Classic leather Gloves,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Gloves/Classic%20Leather.jpg,38,http://localhost:4502/content/we-retail/language-masters/en/products/men/gloves/classic-leather-gloves.html#meotwicls-S,,,WeRetail,,,,,,,,,,
MESKWIMIS,Midweight Fleece Gloves,gloves,Midweight Fleece Gloves,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Gloves/Midweight%20Fleece.jpg,30,http://localhost:4502/content/we-retail/language-masters/en/products/men/gloves/midweight-fleece-gloves.html#meskwimis-One%20size,,,WeRetail,,,,,,,,,,
EQBISUCOS,Comfort Gel Gloves,gloves,Comfort Gel Gloves,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Gloves/Comfort%20Gel.jpg,30,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/comfort-gel-gloves.html#eqbisucos-S,,,WeRetail,,,,,,,,,,
MEOTWIBRT,Brooklyn Coat,coat,Brooklyn Coat,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Brooklyn.jpg,89,http://localhost:4502/content/we-retail/language-masters/en/products/men/coats/brooklyn-coat.html#meotwibrt-S,,,WeRetail,,,,,,,,,,
MESKWIELT.1,El Gordo Down Jacket Green,coat,El Gordo Down Jacket Green,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/El%20Gordo%20Green.jpg,119,http://localhost:4502/content/we-retail/language-masters/en/products/men/coats/el-gordo-down-jacket.html#meskwielt.1-XS,,,WeRetail,,,,,,,,,,
MEOTWIDOT,Double Breasted Raincoat,coat,Double Breasted Raincoat,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Double.jpg,104,http://localhost:4502/content/we-retail/language-masters/en/products/men/coats/double-breasted-raincoat.html#meotwidot-S,,,WeRetail,,,,,,,,,,
MEOTWISLT,Slopeside Coat,coat,Slopeside Coat,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Slopeside.jpg,139,http://localhost:4502/content/we-retail/language-masters/en/products/men/coats/slopeside-coat.html#meotwislt-XS,,,WeRetail,,,,,,,,,,
MEOTWIPOT,Portland Hooded Jacket,coat,Portland Hooded Jacket,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Portland.jpg,75,http://localhost:4502/content/we-retail/language-masters/en/products/men/coats/portland-hooded-jacket.html#meotwipot-S,,,WeRetail,,,,,,,,,,
MEHIWIEXT,Expedition Tech Long-Sleeved Shirt,shirt,Expedition Tech Long-Sleeved Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Expedition.jpg,54,http://localhost:4502/content/we-retail/language-masters/en/products/men/shirts/expedition-tech-long-sleeved-shirt.html#mehiwiext-S,,,WeRetail,,,,,,,,,,
WOHISURIT,Rios T Shirt,shirt,Rios T Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Rios.jpg,39,http://localhost:4502/content/we-retail/language-masters/en/products/women/shirts/rios-t-shirt.html#wohisurit-XXS,,,WeRetail,,,,,,,,,,
